84,Ensure lockout for failed password attempts is configured,Non-Compliant
85,Ensure password reuse is limited,Compliant
86,Ensure password hashing algorithm is SHA-512,Compliant
87,Ensure minimum days between password changes is configured,Non-Compliant
88,Ensure password expiration is 60 days or less,Non-Compliant
89,Ensure password expiration warning days is 7 or more,Compliant
90,Ensure inactive password lock is 30 days or less,Compliant
91,Ensure default group for the root account is GID 0,Compliant
92,Ensure default user shell timeout is 900 seconds or less,Non-Compliant
93,Ensure root login is restricted to system console,Non-Compliant,Manually validate which virtual terminals (tty*) root is allowed to login from.
94,Ensure access to the su command is restricted,Compliant
95,Ensure permissions on /etc/passwd are configured,Compliant
96,Ensure permissions on /etc/passwd- are configured,Compliant
97,Ensure permissions on /etc/group are configured,Compliant
98,Ensure permissions on /etc/group- are configured,Compliant
99,Ensure permissions on /etc/shadow are configured,Compliant
100,Ensure permissions on /etc/shadow- are configured,Compliant
101,Ensure permissions on /etc/gshadow are configured,Compliant
102,Ensure permissions on /etc/gshadow- are configured,Compliant
103,Ensure no world writable files exist,Non-Compliant
104,Ensure no unowned files or directories exist,Compliant
105,Ensure no ungrouped files or directories exist,Compliant
106,Ensure accounts in /etc/passwd use shadowed passwords,Compliant
107,Ensure all groups in /etc/passwd exist in /etc/group,Compliant
108,Ensure root is the only UID 0 account,Compliant
109,Ensure no duplicate UIDs exist,Compliant
110,Ensure no duplicate GIDs exist,Compliant
111,Ensure no duplicate group names exist,Compliant
112,Ensure no duplicate group names exist,Compliant
113,Ensure shadow group is empty,Compliant
